epoch,train_file,pos_type,norm_type,d_model,n_heads,n_layers,d_ff,dropout,batch_size,lr,weight_decay,max_len,train_loss,valid_loss,time_sec,device
1,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,6.411217,6.171219,41.1,cuda
2,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,5.529835,5.806463,39.21,cuda
3,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,5.134227,5.541284,39.07,cuda
4,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.831153,5.393658,39.23,cuda
5,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.580063,5.250021,39.42,cuda
6,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.358081,5.134118,39.29,cuda
7,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.15761,5.039587,39.13,cuda
8,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.977171,4.963347,39.35,cuda
9,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.811433,4.870008,39.48,cuda
10,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.660871,4.781535,39.37,cuda
11,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.522889,4.733349,39.12,cuda
12,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.399346,4.67777,39.56,cuda
13,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.286949,4.637723,39.55,cuda
14,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.185875,4.590563,37.27,cuda
15,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.092901,4.577734,20.77,cuda
16,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.009519,4.535731,20.75,cuda
17,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.931319,4.518883,20.96,cuda
18,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.861937,4.497532,20.84,cuda
19,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.797028,4.490646,20.76,cuda
20,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.73499,4.472571,20.87,cuda
