epoch,train_loss,eval_loss
1.28,1.6878,
1.284,1.6876,
1.288,1.7266,
1.292,1.685,
1.296,1.5917,
1.3,1.6038,
1.304,1.6842,
1.308,1.7217,
1.312,1.6705,
1.316,1.7076,
1.32,1.7099,
1.324,1.7101,
1.328,1.7434,
1.332,1.6758,
1.336,1.6596,
1.34,1.6946,
1.3439999999999999,1.7213,
1.3479999999999999,1.6316,
1.3519999999999999,1.6637,
1.3559999999999999,1.7046,
1.3599999999999999,1.6137,
1.3639999999999999,1.6798,
1.3679999999999999,1.6922,
1.3719999999999999,1.6354,
1.376,1.7122,
1.38,1.66,
1.384,1.6816,
1.388,1.6509,
1.392,1.6635,
1.396,1.6757,
1.4,1.6767,
1.404,1.722,
1.408,1.7082,
1.412,1.6706,
1.416,1.7305,
1.42,1.7517,
1.424,1.688,
1.428,1.6359,
1.432,1.7203,
1.436,1.7696,
1.44,1.6182,
1.444,1.747,
1.448,1.6893,
1.452,1.6455,
1.456,1.7455,
1.46,1.6791,
1.464,1.6951,
1.468,1.6326,
1.472,1.7066,
1.476,1.7159,
1.48,1.6585,
1.484,1.7702,
1.488,1.7052,
1.492,1.6143,
1.496,1.7168,
1.5,1.6789,
1.504,1.7031,
1.508,1.6575,
1.512,1.6789,
1.516,1.7202,
1.52,1.7365,
1.524,1.6178,
1.528,1.6889,
1.532,1.6516,
1.536,1.6873,
1.54,1.6979,
1.544,1.6444,
1.548,1.6001,
1.552,1.6792,
1.556,1.7693,
1.56,1.6582,
1.564,1.698,
1.568,1.7149,
1.572,1.665,
1.576,1.6753,
1.58,1.6043,
1.584,1.6933,
1.588,1.6131,
1.592,1.7064,
1.596,1.7274,
1.6,1.7109,
1.604,1.7506,
1.608,1.7445,
1.612,1.6245,
1.616,1.639,
1.62,1.7195,
1.624,1.659,
1.6280000000000001,1.7053,
1.6320000000000001,1.6322,
1.6360000000000001,1.6801,
1.6400000000000001,1.6344,
1.6440000000000001,1.7654,
1.6480000000000001,1.6842,
1.6520000000000001,1.6955,
1.6560000000000001,1.6221,
1.6600000000000001,1.716,
1.6640000000000001,1.617,
1.6680000000000001,1.6447,
1.6720000000000002,1.5989,
1.6760000000000002,1.6607,
1.6800000000000002,1.6889,
1.6840000000000002,1.6488,
1.688,1.6468,
1.692,1.6848,
1.696,1.7052,
1.7,1.6642,
1.704,1.6307,
1.708,1.6729,
1.712,1.7377,
1.716,1.6627,
1.72,1.6566,
1.724,1.709,
1.728,1.63,
1.732,1.8102,
1.736,1.69,
1.74,1.6419,
1.744,1.6668,
1.748,1.6692,
1.752,1.5952,
1.756,1.6184,
1.76,1.6434,
1.764,1.6985,
1.768,1.6643,
1.772,1.6819,
1.776,1.6729,
1.78,1.7242,
1.784,1.6914,
1.788,1.63,
1.792,1.7136,
1.796,1.6606,
1.8,1.6303,
1.804,1.6645,
1.808,1.6943,
1.812,1.664,
1.8159999999999998,1.5984,
1.8199999999999998,1.6402,
1.8239999999999998,1.5835,
1.8279999999999998,1.6681,
1.8319999999999999,1.6853,
1.8359999999999999,1.7082,
1.8399999999999999,1.641,
1.8439999999999999,1.6515,
1.8479999999999999,1.688,
1.8519999999999999,1.6247,
1.8559999999999999,1.5629,
1.8599999999999999,1.6481,
1.8639999999999999,1.6585,
1.8679999999999999,1.6975,
1.8719999999999999,1.6819,
1.876,1.6385,
1.88,1.6963,
1.884,1.7164,
1.888,1.6412,
1.892,1.6388,
1.896,1.6183,
1.9,1.6333,
1.904,1.6377,
1.908,1.6859,
1.912,1.6906,
1.916,1.6082,
1.92,1.6104,
1.924,1.6668,
1.928,1.6606,
1.932,1.6662,
1.936,1.6916,
1.94,1.6403,
1.944,1.6426,
1.948,1.6265,
1.952,1.6192,
1.956,1.708,
1.96,1.66,
1.964,1.6563,
1.968,1.6666,
1.972,1.6758,
1.976,1.699,
1.98,1.6897,
1.984,1.7136,
1.988,1.5914,
1.992,1.7052,
1.996,1.703,
2.0,1.6323,1.9518202543258667
2.004,1.674,
2.008,1.5838,
2.012,1.6886,
2.016,1.6022,
2.02,1.6746,
2.024,1.6751,
2.028,1.6008,
2.032,1.687,
2.036,1.6259,
2.04,1.6723,
2.044,1.6465,
2.048,1.5804,
2.052,1.6536,
2.056,1.5732,
2.06,1.6453,
2.064,1.5534,
2.068,1.6864,
2.072,1.6438,
2.076,1.5961,
2.08,1.6346,
2.084,1.667,
2.088,1.6312,
2.092,1.6424,
2.096,1.6417,
2.1,1.6533,
2.104,1.6541,
2.108,1.6048,
2.112,1.6882,
2.116,1.6747,
2.12,1.665,
2.124,1.6188,
2.128,1.6708,
2.132,1.6842,
2.136,1.6588,
2.14,1.6017,
2.144,1.6464,
2.148,1.6451,
2.152,1.6694,
2.156,1.5531,
2.16,1.6184,
2.164,1.6187,
2.168,1.6142,
2.172,1.6518,
2.176,1.7727,
2.18,1.666,
2.184,1.7005,
2.188,1.6327,
2.192,1.6423,
2.196,1.664,
2.2,1.6533,
2.204,1.5799,
2.208,1.6437,
2.212,1.6792,
2.216,1.5854,
2.22,1.5901,
2.224,1.648,
2.228,1.6264,
2.232,1.6573,
2.2359999999999998,1.6726,
2.24,1.6003,
2.2439999999999998,1.6704,
2.248,1.6619,
2.252,1.6751,
2.2560000000000002,1.6543,
2.26,1.6533,
